dt,AverageTemperature,AverageTemperatureUncertainty,Country
2012-01-01,24.221999999999998,0.775,Namibia
2012-01-01,5.207999999999999,0.588,Nepal
2012-01-01,4.388,0.294,Netherlands (Europe)
2012-01-01,4.859,0.29600000000000004,Netherlands
2012-01-01,25.630000000000006,0.311,New Caledonia
2012-01-01,14.968,0.29100000000000004,New Zealand
2012-01-01,25.204,0.5,Nicaragua
2012-01-01,19.316,0.413,Niger
2012-01-01,25.331000000000003,0.957,Nigeria
2012-01-01,26.767,0.419,Niue
2012-01-01,-9.606,0.16699999999999998,North America
2012-01-01,-9.709,0.393,North Korea
2012-01-01,26.266,0.589,Northern Mariana Islands
2012-01-01,-6.080000000000001,0.35700000000000004,Norway
2012-01-01,27.34,0.355,Oceania
2012-01-01,20.315,0.391,Oman
2012-01-01,27.587,0.759,Palau
2012-01-01,20.927,0.321,Palestina
2012-01-01,26.975,0.685,Palmyra Atoll
2012-01-01,26.679000000000002,0.459,Panama
2012-01-01,25.096,0.552,Papua New Guinea
2012-01-01,28.314,0.455,Paraguay
2012-01-01,20.607000000000006,0.444,Peru
2012-01-01,25.954,0.304,Philippines
2012-01-01,-1.406,0.456,Poland
2012-01-01,8.423,0.366,Portugal
2012-01-01,24.389,0.364,Puerto Rico
2012-01-01,25.842,0.36,Reunion
2012-01-01,-2.22,0.472,Romania
2012-01-01,-21.502,0.22,Russian Federation
2012-01-01,20.402,0.914,Rwanda
2012-01-01,25.678,0.405,Saint Barthélemy
2012-01-01,25.059,0.33,Saint Kitts And Nevis
2012-01-01,26.311999999999998,0.248,Saint Lucia
2012-01-01,25.678,0.405,Saint Martin
2012-01-01,-2.319,0.563,Saint Pierre And Miquelon
2012-01-01,26.522,0.256,Saint Vincent And The Grenadines
2012-01-01,26.851999999999997,0.452,Samoa
2012-01-01,6.424,0.482,San Marino
2012-01-01,26.552000000000003,0.446,Sao Tome And Principe
2012-01-01,15.939,0.35100000000000003,Saudi Arabia
2012-01-01,24.837,0.408,Senegal
2012-01-01,-0.81,0.6409999999999999,Serbia
2012-01-01,27.239,0.441,Seychelles
2012-01-01,26.026,0.444,Sierra Leone
2012-01-01,26.842,0.419,Singapore
2012-01-01,25.678,0.405,Sint Maarten
2012-01-01,-1.3530000000000002,0.539,Slovakia
2012-01-01,0.8859999999999999,0.411,Slovenia
2012-01-01,27.491000000000003,0.601,Solomon Islands
2012-01-01,26.046,0.532,Somalia
2012-01-01,24.024,0.313,South Africa
2012-01-01,24.146,0.325,South America
2012-01-01,5.2799999999999985,0.7020000000000001,South Georgia And The South Sandwich Isla
2012-01-01,-1.36,0.341,South Korea
2012-01-01,6.542999999999999,0.304,Spain
2012-01-01,26.206,0.394,Sri Lanka
2012-01-01,22.653000000000002,2.154,Sudan
2012-01-01,25.992,0.358,Suriname
2012-01-01,-5.779000000000003,0.632,Svalbard And Jan Mayen
2012-01-01,-6.3740000000000006,0.433,Sweden
2012-01-01,-0.06699999999999973,0.316,Switzerland
2012-01-01,6.444,0.539,Syria
2012-01-01,16.416,0.483,Taiwan
2012-01-01,-11.48,0.625,Tajikistan
2012-01-01,26.783,0.305,Timor Leste
2012-01-01,27.438,0.39,Togo
2012-01-01,25.54,0.306,Tonga
