dt,AverageTemperature,AverageTemperatureUncertainty,Country
2013-01-01,25.221,1.731,New Caledonia
2013-01-01,15.623,0.622,New Zealand
2013-01-01,25.685,0.399,Nicaragua
2013-01-01,20.227999999999998,0.44,Niger
2013-01-01,25.958,0.662,Nigeria
2013-01-01,26.925,0.669,Niue
2013-01-01,-10.003,0.14,North America
2013-01-01,-9.996,0.5589999999999999,North Korea
2013-01-01,26.043000000000003,0.494,Northern Mariana Islands
2013-01-01,-7.711,0.298,Norway
2013-01-01,29.154,0.201,Oceania
2013-01-01,20.325,0.435,Oman
2013-01-01,9.797,0.547,Pakistan
2013-01-01,27.613000000000003,0.637,Palau
2013-01-01,21.693,0.6709999999999999,Palestina
2013-01-01,27.395,0.627,Palmyra Atoll
2013-01-01,26.902,0.546,Panama
2013-01-01,25.465,0.307,Papua New Guinea
2013-01-01,28.334,0.306,Paraguay
2013-01-01,20.749,0.415,Peru
2013-01-01,25.58,0.284,Philippines
2013-01-01,-3.406,0.452,Poland
2013-01-01,9.71,0.441,Portugal
2013-01-01,24.644000000000002,0.28,Puerto Rico
2013-01-01,26.24,0.457,Reunion
2013-01-01,-1.6840000000000002,0.469,Romania
2013-01-01,-25.53,0.463,Russian Federation
2013-01-01,20.408,0.316,Rwanda
2013-01-01,25.919,0.436,Saint Barthélemy
2013-01-01,25.326,0.336,Saint Kitts And Nevis
2013-01-01,26.331000000000003,0.303,Saint Lucia
2013-01-01,25.919,0.436,Saint Martin
2013-01-01,-4.6400000000000015,0.4,Saint Pierre And Miquelon
2013-01-01,26.546,0.341,Saint Vincent And The Grenadines
2013-01-01,26.97,0.62,Samoa
2013-01-01,7.609,0.208,San Marino
2013-01-01,27.134,0.575,Sao Tome And Principe
2013-01-01,16.947,0.407,Saudi Arabia
2013-01-01,24.503,0.425,Senegal
2013-01-01,0.589,0.424,Serbia
2013-01-01,27.151999999999997,0.596,Seychelles
2013-01-01,26.333000000000002,0.613,Sierra Leone
2013-01-01,26.836,0.36,Singapore
2013-01-01,25.919,0.436,Sint Maarten
2013-01-01,-2.334,0.545,Slovakia
2013-01-01,1.194,0.321,Slovenia
2013-01-01,26.025,0.974,Somalia
2013-01-01,23.636999999999997,0.526,South Africa
2013-01-01,24.499,0.265,South America
2013-01-01,4.356,1.082,South Georgia And The South Sandwich Isla
2013-01-01,-1.949,0.259,South Korea
2013-01-01,26.314,0.275,Sri Lanka
2013-01-01,23.967,0.682,Sudan
2013-01-01,26.706,0.595,Suriname
2013-01-01,-10.443,0.846,Svalbard And Jan Mayen
2013-01-01,-7.811,0.527,Sweden
2013-01-01,7.742000000000001,0.481,Syria
2013-01-01,16.601,0.388,Taiwan
2013-01-01,-9.649,0.961,Tajikistan
2013-01-01,24.16,0.526,Tanzania
2013-01-01,24.373,0.326,Thailand
2013-01-01,27.243000000000002,0.32,Timor Leste
2013-01-01,27.506,1.008,Togo
2013-01-01,25.958000000000002,0.462,Tonga
2013-01-01,25.951,0.5539999999999999,Trinidad And Tobago
2013-01-01,12.004,0.4,Tunisia
2013-01-01,2.103,0.416,Turkey
2013-01-01,4.455,0.332,Turkmenistan
2013-01-01,25.311,1.007,Turks And Caicas Islands
2013-01-01,24.875,0.339,Uganda
2013-01-01,-3.4700000000000006,0.527,Ukraine
2013-01-01,19.793,0.387,United Arab Emirates
2013-01-01,3.9589999999999996,0.44,United Kingdom of Great Britain and Northern Ireland
2013-01-01,4.354,0.37,United Kingdom of Great Britain and Northern Ireland
2013-01-01,23.521,0.535,Uruguay
2013-01-01,0.3460000000000001,0.414,Uzbekistan
2013-01-01,25.403000000000002,0.43,Venezuela
2013-01-01,19.885,0.336,Vietnam
2013-01-01,25.594,0.354,Virgin Islands
2013-01-01,21.567,0.68,Yemen
2013-01-01,23.072,1.19,Zambia
